WildType	Null	R175H	R248Q	R273H
NUGC-4	KATO_III	SK-UT-1	KASUMI-1	MONO-MAC-1
ZR-75-1	Hep_3B2.1-7	HuCCT1	639-V	SU-DHL-1
KG-1-C	NCI-H1299	HCC1395	RT-112	MDA-MB-436
NB-1	Calu-1	SK-BR-3	HCC1143	MDA-MB-468
NH-6	HL-60	LS123	HCC70	HT-29
DU4475	SK-N-MC	SNU-61	BL-41	NCI-H508
MDA-MB-175-VII	PC-3	KLE	CA46	SW480
UACC-812	MDA-MB-157	CAL-33	NAMALWA	HEC-59
ZR-75-1	NA	SK-UT-1	KYO-1	SNU-601
ZR-75-30	NA	TOV-112D	SW1463	NA
COLO-678	NA	SNU-213	HEC-1-A	U-251_MG
GP2d	NA	VM-CUB1	HEC-1-B	YD-8
HCT_116	NA	NA	KYSE-150	NCI-H1155
LoVo	NA	NA	TE-6	NCI-H1793
LS_180	NA	NA	NCI-N87	NCI-H2405
LS513	NA	NA	SF-295	SK-MEL-30
RKO	NA	NA	HSC-4	Capan-2
SK-CO-1	NA	NA	SK-UT-1	PANC-1
SNU-520	NA	NA	PC-14	SUIT-2
SNU-719	NA	NA	NCI-H211	MOLT-13
NUGC-4	NA	NA	SKM-1	SUP-T1
MKN-45	NA	NA	NIH_OVCAR-3	8305C
Hep_G2	NA	NA	NA	NA
ML-1	NA	NA	P12-ICHIKAWA	NA
PL-21	NA	NA	SUP-T1	NA
Reh	NA	NA	NA	NA
MEL-JUSO	NA	NA	NA	NA
MeWo	NA	NA	NA	NA
A549	NA	NA	NA	NA
NCI-H460	NA	NA	NA	NA
NCI-H838	NA	NA	NA	NA
NCI-H1385	NA	NA	NA	NA
NCI-H1568	NA	NA	NA	NA
NCI-H1944	NA	NA	NA	NA
NCI-H2023	NA	NA	NA	NA
NCI-H2030	NA	NA	NA	NA
NCI-H2126	NA	NA	NA	NA
NCI-H2347	NA	NA	NA	NA
NCI-H1395	NA	NA	NA	NA
NCI-H1563	NA	NA	NA	NA
NCI-H1650	NA	NA	NA	NA
NCI-H1666	NA	NA	NA	NA
NCI-H1975	NA	NA	NA	NA
NCI-H2170	NA	NA	NA	NA
NCI-H2228	NA	NA	NA	NA
NCI-H2342	NA	NA	NA	NA
NCI-H2347	NA	NA	NA	NA
NCI-H810	NA	NA	NA	NA
A2780	NA	NA	NA	NA
NCI-H209	NA	NA	NA	NA
NCI-H2081	NA	NA	NA	NA
NCI-H446	NA	NA	NA	NA
SR-786	NA	NA	NA	NA
NCI-H460	NA	NA	NA	NA
LOX_IMVI	NA	NA	NA	NA
SK-MEL-5	NA	NA	NA	NA
UACC-257	NA	NA	NA	NA
UACC-62	NA	NA	NA	NA
A-498	NA	NA	NA	NA
ACHN	NA	NA	NA	NA
				
