# HPRT1	
TranscriptID	p.adj
HPRT1-002-HPRT1-001	0
HPRT1-003-HPRT1-001	0
HPRT1-003-HPRT1-002	0
	
# HPRT1-001	
Group	p.adj
R175H-Null	0.91825165
R248Q-Null	0.996562673
R273H-Null	0.931255351
WildType-Null	0.932842275
R248Q-R175H	0.964596365
R273H-R175H	0.99991708
WildType-R175H	0.220665922
R273H-R248Q	0.973933218
WildType-R248Q	0.395605348
WildType-R273H	0.121436799
	
# HPRT1-002	
Group	p.adj
R175H-Null	1
R248Q-Null	0.915719138
R273H-Null	0.088102066
WildType-Null	0.92621954
R248Q-R175H	0.87527513
R273H-R175H	0.038437723
WildType-R175H	0.880252839
R273H-R248Q	0.146829309
WildType-R248Q	0.999843973
WildType-R273H	0.03743519
	
# HPRT1-003	
Group	p.adj
R175H-Null	0.713773234
R248Q-Null	0.352713667
R273H-Null	0.129900669
WildType-Null	0.959857589
R248Q-R175H	0.9877238
R273H-R175H	0.797586735
WildType-R175H	0.85678956
R273H-R248Q	0.942170797
WildType-R248Q	0.275229605
WildType-R273H	0.046727973
