# TK1	
TranscriptID	p.adj
TK1-002-TK1-001	0
TK1-003-TK1-001	0
TK1-004-TK1-001	0
TK1-005-TK1-001	0
TK1-006-TK1-001	0
TK1-003-TK1-002	0
TK1-004-TK1-002	0.788388608
TK1-005-TK1-002	0.156476742
TK1-006-TK1-002	0
TK1-004-TK1-003	0
TK1-005-TK1-003	0
TK1-006-TK1-003	0
TK1-005-TK1-004	0.877846567
TK1-006-TK1-004	0
TK1-006-TK1-005	0
	
# TK1-001	
Group	p.adj
R175H-Null	0.999944913
R248Q-Null	0.787621675
R273H-Null	0.73332285
WildType-Null	0.188221759
R248Q-R175H	0.597705861
R273H-R175H	0.534240786
WildType-R175H	0.053333898
R273H-R248Q	0.999862485
WildType-R248Q	0.601129267
WildType-R273H	0.754981668
	
# TK1-002	
Group	p.adj
R175H-Null	0.925116406
R248Q-Null	0.623180306
R273H-Null	0.479569511
WildType-Null	0.224307735
R248Q-R175H	0.979695303
R273H-R175H	0.91938838
WildType-R175H	0.690493331
R273H-R248Q	0.997206036
WildType-R248Q	0.91096953
WildType-R273H	0.993088502
	
# TK1-003	
Group	p.adj
R175H-Null	0.800305121
R248Q-Null	0.999989274
R273H-Null	0.994312008
WildType-Null	0.999873374
R248Q-R175H	0.682225581
R273H-R175H	0.358364438
WildType-R175H	0.403299575
R273H-R248Q	0.964989407
WildType-R248Q	0.996114067
WildType-R273H	0.993249629
	
# TK1-004	
Group	p.adj
R175H-Null	0.999958085
R248Q-Null	0.981486128
R273H-Null	0.99999593
WildType-Null	0.926467705
R248Q-R175H	0.937278083
R273H-R175H	0.999495424
WildType-R175H	0.798634684
R273H-R248Q	0.967006686
WildType-R248Q	0.997777148
WildType-R273H	0.825091577
	
# TK1-005	
Group	p.adj
R175H-Null	0.940210808
R248Q-Null	0.9988556
R273H-Null	0.980296978
WildType-Null	0.990481306
R248Q-R175H	0.707495048
R273H-R175H	0.511066149
WildType-R175H	0.483632914
R273H-R248Q	0.994332298
WildType-R248Q	0.999024532
WildType-R273H	0.999380339
	
# TK1-006	
Group	p.adj
R175H-Null	0.983041247
R248Q-Null	0.99998431
R273H-Null	0.991694619
WildType-Null	0.96944639
R248Q-R175H	0.977719448
R273H-R175H	0.999836829
WildType-R175H	0.999999899
R273H-R248Q	0.988775575
WildType-R248Q	0.929316698
WildType-R273H	0.999648527
